energy_rank,energy,depth,angles_deg_json,term_constraint,term_sasa,term_hbond,term_hbond_raw,term_electrostatics,term_disulfide,term_vdw_repulsion,term_vdw_attractive,term_rotamer,term_pi_stacking,term_rama,term_geometry,term_geom_pro_ring,term_geom_chirality,term_geom_planarity,term_burial_mean,term_burial_min,term_burial_max,term_neighbor_mean,term_neighbor_min,term_neighbor_max,term_total,pred_e2e_A,pred_rg_A,rmsd_to_reference_A,ref_e2e_A,ref_rg_A,native_like
1,68.84008104460108,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -119.99999999999999, 135.0, -45.0, 160.0, 180.0, -75.0, 105.00000000000001, 180.0, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",1.2148180698782858,143.07011394872436,-115.2751399470925,-76.85009329806167,16.79297850359715,0.0,46.60770489155098,-2.9908544086644655,-15.807538799549228,0.0,-5.360304665468173,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9174198476486439,0.3908252128689067,1.0,37.43083664910173,13.678882450411734,54.991460071175304,68.84008104460108,5.992913393990929,4.545731957504525,2.7242962245550593,5.508595556037851,4.848916770784997,False
2,76.67684934102867,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -135.0, 135.0, -75.0, 150.0, 59.99999999999999, -45.0, 145.0, 180.0, -59.99999999999999, -90.0, -75.0, 180.0, 59.99999999999999]",0.2035910567254501,123.904511460172,-115.2751399470925,-76.85009329806167,18.62434113156424,0.0,72.83374499754181,-2.6390902075437044,-13.207980012764175,0.0,-8.35543258919913,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9284822444674331,0.41230152793032315,1.0,37.104354858851416,14.430553477561311,55.24771945022205,76.67684934102867,5.298212459886419,4.549401576568294,2.4701845892812377,5.508595556037851,4.848916770784997,False
3,76.72987053294713,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -119.99999999999999, 135.0, -45.0, 160.0, 180.0, -75.0, 115.0, 180.0, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",2.0844060028094678,136.97965305691432,-115.2751399470925,-76.85009329806167,16.832053479412785,0.0,63.06158729789013,-2.875632632285893,-15.807538799549228,-2.9616264210181233,-5.896194955758493,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9209352651908143,0.3919488311215039,1.0,38.12804892666593,13.718209089252637,55.64725097956161,76.72987053294713,6.1456633802236995,4.560853642489402,2.7491641293206386,5.508595556037851,4.848916770784997,False
4,77.84179454958614,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -135.0, 135.0, -75.0, 150.0, 59.99999999999999, -59.99999999999999, 115.0, -59.99999999999999, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",0.08159864469908372,112.99107916440897,-115.2751399470925,-76.85009329806167,19.040307840624646,0.0,82.06879358608829,-2.7412658406234107,-12.408026753196237,0.0,-6.503855596947369,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9347814838877869,0.39422966634529505,1.0,37.64572807041314,13.798038322085327,55.062805195645126,77.84179454958614,5.627748694474021,4.562913599264479,2.452900763273037,5.508595556037851,4.848916770784997,False
5,78.97282244727919,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -135.0, 119.99999999999999, -45.0, 160.0, 180.0, -75.0, 115.0, 180.0, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",0.022885379022547996,103.22278760866594,-115.2751399470925,-76.85009329806167,19.64313529332275,0.0,95.24764747105715,-3.0059629535985337,-15.807538799549228,0.0,-5.663295056173624,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9404197474120254,0.396323923337062,1.0,38.55748869026482,13.87133731679717,56.70874960832833,78.97282244727919,5.567654089340627,4.5047032375299425,2.570248788819294,5.508595556037851,4.848916770784997,False
6,81.59707639695748,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -135.0, 135.0, -90.0, 160.0, 180.0, -59.99999999999999, 115.0, -59.99999999999999, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",2.3022097890522684,149.4211512993604,-115.2751399470925,-76.85009329806167,17.657070577290586,0.0,51.81598793807921,-2.5248934847206543,-15.40756216976526,0.0,-6.98005105687122,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9137540252240345,0.3871190422018553,1.0,35.78402884426116,13.549166477064935,52.47445920838783,81.59707639695748,6.1785587357115475,4.674075327367813,2.37814896173899,5.508595556037851,4.848916770784997,False
7,82.98047077083186,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -135.0, 135.0, -45.0, 160.0, 180.0, -75.0, 105.00000000000001, 180.0, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",1.2214335341329488,90.44749690616526,-115.2751399470925,-76.85009329806167,20.052192224974828,0.0,111.18896285990208,-3.887191114110207,-15.807538799549228,0.0,-5.548048345215974,0.5883034516246725,0.5883034516246725,0.0,0.0,0.947793652579414,0.4095015853299711,1.0,40.29512897333014,14.332555486548989,59.519259828687645,82.98047077083186,5.005746313289835,4.410689234614565,2.6767563574151403,5.508595556037851,4.848916770784997,False
8,84.99480966228214,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -135.0, 119.99999999999999, -45.0, 160.0, 180.0, -75.0, 105.00000000000001, 180.0, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",0.002656862174502833,110.34733428689904,-115.2751399470925,-76.85009329806167,19.629431499092085,0.0,93.65896109857732,-3.021794023560457,-15.807538799549228,0.0,-5.127404765883305,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9363074549570569,0.3959109959110213,1.0,38.02068237119806,13.856884856885745,56.276849845182944,84.99480966228214,5.476948483023875,4.491244118535086,2.552305694713192,5.508595556037851,4.848916770784997,False
9,94.4531223581919,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -119.99999999999999, 135.0, -75.0, 150.0, 59.99999999999999, -59.99999999999999, 115.0, -59.99999999999999, -59.99999999999999, -150.0, 105.00000000000001, -59.99999999999999, 59.99999999999999]",3.1868133267532883,160.82823399580676,-115.2751399470925,-76.85009329806167,16.878110103094134,0.0,49.310356257730824,-2.3394161593294474,-12.408026753196237,0.0,-6.316111917199568,0.5883034516246725,0.5883034516246725,0.0,0.0,0.9071698505074708,0.38458640545750866,1.0,35.42788164054381,13.460524191012803,51.90671927572798,94.4531223581919,6.298349964207839,4.678075366496456,2.4857834512212946,5.508595556037851,4.848916770784997,False
10,95.0854575741386,10,"[-90.0, -45.0, -59.99999999999999, 180.0, 90.0, 45.0, -59.99999999999999, 180.0, 45.0, 59.99999999999999, 180.0, -135.0, 150.0, -59.99999999999999, 45.0, 45.0, 180.0, 59.99999999999999, 59.99999999999999, -59.99999999999999, -119.99999999999999, 135.0, -75.0, 150.0, 59.99999999999999, -45.0, 145.0, 180.0, -59.99999999999999, -90.0, -75.0, 180.0, 59.99999999999999]",1.456213444947021,170.83399489382447,-115.2751399470925,-76.85009329806167,16.61613591578029,0.0,44.44112494121766,-2.199506203947507,-13.207980012764175,0.0,-8.16768890945133,0.5883034516246725,0.5883034516246725,0.0,0.0,0.901394519541804,0.4056359042678108,1.0,34.78349373690606,14.19725664937338,51.969116119300196,95.0854575741386,6.039669055060047,4.66475094614043,2.512461782105863,5.508595556037851,4.848916770784997,False
